"","id","latitude","longitude","date","depth","average_bleaching","clim_sst","temperature_kelvin","temperature_mean","temperature_minimum","temperature_maximum","temperature_kelvin_standard_deviation","windspeed","ssta","ssta_standard_deviation","ssta_mean","ssta_minimum","ssta_maximum","ssta_frequency","ssta_frequency_standard_deviation","ssta_frequency_max","ssta_frequency_mean","ssta_dhw","ssta_dhw_standard_deviation","ssta_dhw_max","ssta_dhw_mean","tsa","tsa_standard_deviation","tsa_minimum","tsa_maximum","tsa_mean","tsa_frequency","tsa_frequency_standard_deviation","tsa_frequency_max","tsa_frequency_mean","tsa_dhw","tsa_dhw_standard_deviation","tsa_dhw_max","tsa_dhw_mean","index","mean_airt_1","mean_atmp","mean_rad_par_1","mean_sw_1"
"64","518","-27.51655556","153.3828611","11/21/2016",1,10,299.42,296.56,296.1,290.84,304.48,2.77,6,-0.85,1.06,0,-3.098333333,4.77,21,6.84,32,7,2.11,6.2,43.1,3.34,-3.16,2.77,-8.88,4.75,-3.61,0,2.45,9,1,0,2.27,16.09,0.76,70,18.52,1019.48172,8.34,1.79
"65","519","-27.51655556","153.3828611","11/27/2017",1,11.25,299.57,297.32,296.1,290.84,304.48,2.77,6,-0.37,1.06,0,-3.098333333,4.77,8,6.84,32,7,6.07,6.2,43.1,3.34,-2.39,2.77,-8.88,4.75,-3.61,3,2.45,9,1,0,2.27,16.09,0.76,71,18.52,1019.48172,8.34,1.79
"66","521","-27.50219444","153.3706944","11/20/2016",2,4.25,299.42,296.56,296.1,290.84,304.48,2.77,6,-0.85,1.06,0,-3.098333333,4.77,21,6.84,32,7,2.11,6.2,43.1,3.34,-3.16,2.77,-8.88,4.75,-3.61,0,2.45,9,1,0,2.27,16.09,0.76,72,18.56,1019.48257,3.12,-0.25
"67","522","-27.50219444","153.3706944","11/26/2017",2,3.5,299.57,297.32,296.1,290.84,304.48,2.77,6,-0.37,1.06,0,-3.098333333,4.77,8,6.84,32,7,6.07,6.2,43.1,3.34,-2.39,2.77,-8.88,4.75,-3.61,3,2.45,9,1,0,2.27,16.09,0.76,73,18.56,1019.48257,3.12,-0.25
"68","523","-27.5","153.37525","11/22/2016",1,5.5,299.42,296.56,296.1,290.84,304.48,2.77,6,-0.85,1.06,0,-3.098333333,4.77,21,6.84,32,7,2.11,6.2,43.1,3.34,-3.16,2.77,-8.88,4.75,-3.61,0,2.45,9,1,0,2.27,16.09,0.76,74,18.56,1019.48257,3.12,-0.25
"69","524","-27.5","153.37525","11/15/2017",2,3,299.42,297.04,296.1,290.84,304.48,2.77,7,-0.26,1.06,0,-3.098333333,4.77,8,6.84,32,7,6.07,6.2,43.1,3.34,-2.68,2.77,-8.88,4.75,-3.61,3,2.45,9,1,0,2.27,16.09,0.76,75,18.56,1019.48257,3.12,-0.25
"70","525","-27.47202778","153.4099444","4/28/2016",2,1,262.15,297.42,295.9966667,289.9266667,303.8666667,2.87,4,1.483333333,0.98,0,-3.143333333,4.553333333,14,5.693333333,28,7,5.576666667,4.583333333,27.18,2.98,-2.383333333,2.87,-9.873333333,4.05,-3.8,0,2.126666667,8,1,0,1.9,13.09666667,0.616666667,76,18.68,1019.51016,0.59,-1.402
"71","526","-27.47202778","153.4099444","11/19/2016",4,18.75,262.15,297.86,295.9966667,289.9266667,303.8666667,2.87,6,0.466666667,0.98,0,-3.143333333,4.553333333,13.33333333,5.693333333,28,7,2.056666667,4.583333333,27.18,2.98,-1.946666667,2.87,-9.873333333,4.05,-3.8,0,2.126666667,8,1,0,1.9,13.09666667,0.616666667,77,18.68,1019.51016,0.59,-1.402
"72","527","-27.47202778","153.4099444","11/21/2016",1,1.25,262.15,297.86,295.9966667,289.9266667,303.8666667,2.87,6,0.466666667,0.98,0,-3.143333333,4.553333333,13.33333333,5.693333333,28,7,2.056666667,4.583333333,27.18,2.98,-1.946666667,2.87,-9.873333333,4.05,-3.8,0,2.126666667,8,1,0,1.9,13.09666667,0.616666667,78,18.68,1019.51016,0.59,-1.402
"73","528","-27.47202778","153.4099444","11/15/2017",2,1.25,262.15,296.81,295.9966667,289.9266667,303.8666667,2.87,7,-0.456666667,0.98,0,-3.143333333,4.553333333,10.66666667,5.693333333,28,7,7.996666667,4.583333333,27.18,2.98,-2.996666667,2.87,-9.873333333,4.05,-3.8,2,2.126666667,8,1,0,1.9,13.09666667,0.616666667,79,18.68,1019.51016,0.59,-1.402
"74","529","-27.47202778","153.4099444","11/26/2017",2,0.75,262.15,297.5833333,295.9966667,289.9266667,303.8666667,2.87,6,-0.103333333,0.98,0,-3.143333333,4.553333333,10,5.693333333,28,7,7.996666667,4.583333333,27.18,2.98,-2.22,2.87,-9.873333333,4.05,-3.8,2,2.126666667,8,1,0,1.9,13.09666667,0.616666667,80,18.68,1019.51016,0.59,-1.402
"75","530","-27.47013889","153.3491111","4/28/2016",1,18.75,292.87,297.23,295.86,289.23,304.48,3.01,3,1.56,0.89,0,-3.193333333,4.55,14,4.84,23,6,6.76,3.34,18.23,2.33,-2.71,3.01,-10.71,4.53,-4.07,0,1.93,8,1,0,1.63,10.6,0.51,81,20.3433,1016.1488,1183.235,636.304005
"76","531","-27.47013889","153.3491111","11/20/2016",2,1.25,299.65,298.46,295.86,289.23,304.48,3.01,6,1.01,0.89,0,-3.193333333,4.55,11,4.84,23,6,1.34,3.34,18.23,2.33,-1.48,3.01,-10.71,4.53,-4.07,0,1.93,8,1,0,1.63,10.6,0.51,82,20.3433,1016.1488,1183.235,636.304005
"77","532","-27.47013889","153.3491111","11/25/2017",2,20,299.81,297.32,295.86,289.23,304.48,3.01,6,-0.44,0.89,0,-3.193333333,4.55,9,4.84,23,6,9.23,3.34,18.23,2.33,-2.62,3.01,-10.71,4.53,-4.07,0,1.93,8,1,0,1.63,10.6,0.51,83,20.3433,1016.1488,1183.235,636.304005
"78","533","-27.42455556","153.2278333","12/16/2017",3,7.75,299.82,299.38,295.77,289.29,305.77,3.09,6,0.52,0.96,0,-3.42,5.94,12,4.97,27,6,8.76,4.07,35.72,2.5,-0.45,3.09,-10.53,5.94,-4.05,6,2.07,8,1,0,2.02,15.07,0.61,84,20.1619,1017.94947,357.332995,169.9645
